"Título do Desenho: Termohigrógrafo_coleta_MALG"
"#","Data Hora, GMT-03:00","Temp., °C (LGR S/N: 20455588, SEN S/N: 20455588)","HR, % (LGR S/N: 20455588, SEN S/N: 20455588)","Anfitrião Ligado (LGR S/N: 20455588)","Fim Do Ficheiro (LGR S/N: 20455588)"
122,07/07/20 01h43min39s,13.500,80.463,,
123,07/07/20 02h43min39s,13.524,80.461,,
124,07/07/20 03h43min39s,13.572,80.532,,
125,07/07/20 04h43min39s,13.596,80.530,,
126,07/07/20 05h43min39s,13.620,80.603,,
127,07/07/20 06h43min39s,13.620,80.529,,
128,07/07/20 07h43min39s,13.596,80.530,,
129,07/07/20 08h43min39s,13.572,80.458,,
130,07/07/20 09h43min39s,13.548,80.314,,
131,07/07/20 10h43min39s,13.524,80.244,,
132,07/07/20 11h43min39s,13.500,80.174,,
133,07/08/20 12h43min39s,13.476,80.175,,
134,07/08/20 01h43min39s,13.452,80.248,,
135,07/08/20 02h43min39s,13.428,80.250,,
136,07/08/20 03h43min39s,13.428,80.322,,
137,07/08/20 04h43min39s,13.404,80.396,,
138,07/08/20 05h43min39s,13.380,80.470,,
139,07/08/20 06h43min39s,13.380,80.470,,
140,07/08/20 07h43min39s,13.380,80.325,,
141,07/08/20 08h43min39s,13.452,80.613,,
142,07/08/20 09h43min39s,13.572,81.060,,
143,07/08/20 10h43min39s,13.668,81.447,,
144,07/08/20 11h43min39s,13.741,81.767,,
145,07/08/20 12h43min39s,13.813,81.930,,
146,07/08/20 01h43min39s,13.837,81.763,,
147,07/08/20 02h43min39s,13.885,81.843,,
148,07/08/20 03h43min39s,13.933,81.840,,
149,07/08/20 04h43min39s,13.933,81.758,,
150,07/08/20 05h43min39s,13.957,81.593,,
151,07/08/20 06h43min39s,13.933,81.433,,
152,07/08/20 07h43min39s,13.861,81.357,,
153,07/08/20 08h43min39s,13.813,81.359,,
154,07/08/20 09h43min39s,13.741,81.206,,
155,07/08/20 10h43min39s,13.668,81.132,,
156,07/08/20 11h43min39s,13.620,81.057,,
157,07/09/20 12h43min39s,13.548,81.061,,
158,07/09/20 01h43min39s,13.500,80.987,,
159,07/09/20 02h43min39s,13.428,80.915,,
160,07/09/20 03h43min39s,13.380,80.767,,
161,07/09/20 04h43min39s,13.332,80.845,,
162,07/09/20 05h43min39s,13.284,80.848,,
163,07/09/20 06h43min39s,13.212,80.852,,
164,07/09/20 07h43min39s,13.163,81.007,,
165,07/09/20 08h43min39s,13.139,81.008,,
166,07/09/20 09h43min39s,13.139,80.781,,
167,07/09/20 10h43min39s,13.091,80.416,,
168,07/09/20 11h43min39s,13.091,80.060,,
169,07/09/20 12h43min39s,13.139,79.779,,
170,07/09/20 01h43min39s,13.308,79.295,,
171,07/09/20 02h43min39s,13.428,79.025,,
172,07/09/20 03h43min39s,13.572,79.014,,
173,07/09/20 04h43min39s,13.572,79.144,,
174,07/09/20 05h43min39s,13.572,79.342,,
175,07/09/20 06h43min39s,13.548,79.613,,
176,07/09/20 07h43min39s,13.500,79.684,,
177,07/09/20 08h43min39s,13.428,79.419,,
178,07/09/20 09h43min39s,13.356,79.226,,
179,07/09/20 10h43min39s,13.284,78.781,,
180,07/09/20 11h43min39s,13.236,79.105,,
181,07/10/20 12h43min39s,13.187,79.304,,
182,07/10/20 01h43min39s,13.115,79.244,,
183,07/10/20 02h43min39s,13.067,79.314,,
184,07/10/20 03h43min39s,13.019,79.450,,
185,07/10/20 04h43min39s,12.971,79.654,,
186,07/10/20 05h43min39s,12.898,79.727,,
187,07/10/20 06h43min39s,12.850,79.868,,
188,07/10/20 07h43min39s,12.778,79.468,,
189,07/10/20 08h43min39s,12.633,77.758,,
190,07/10/20 09h43min39s,12.609,77.590,,
191,07/10/20 10h43min39s,12.657,77.642,,
192,07/10/20 11h43min39s,12.729,77.749,,
193,07/10/20 12h43min39s,12.874,77.909,,
194,07/10/20 01h43min39s,13.115,77.486,,
195,07/10/20 02h43min39s,13.332,75.692,,
196,07/10/20 03h43min39s,13.596,76.362,,
197,07/10/20 04h43min39s,13.692,76.666,,
198,07/10/20 05h43min39s,13.717,77.891,,
199,07/10/20 06h43min39s,13.644,78.317,,
200,07/10/20 07h43min39s,13.596,78.260,,
201,07/10/20 08h43min39s,13.572,78.384,,
202,07/10/20 09h43min39s,13.524,78.573,,
203,07/10/20 10h43min39s,13.500,78.638,,
204,07/10/20 11h43min39s,13.500,78.764,,
205,07/11/20 12h43min39s,13.476,78.829,,
206,07/11/20 01h43min39s,13.476,78.893,,
207,07/11/20 02h43min39s,13.476,78.893,,
208,07/11/20 03h43min39s,13.476,78.957,,
209,07/11/20 04h43min39s,13.476,78.957,,
210,07/11/20 05h43min39s,13.476,78.957,,
211,07/11/20 06h43min39s,13.500,78.955,,
212,07/11/20 07h43min39s,13.500,78.955,,
213,07/11/20 08h43min39s,13.524,78.953,,
214,07/11/20 09h43min39s,13.572,78.949,,
215,07/11/20 10h43min39s,13.572,78.949,,
216,07/11/20 11h43min39s,13.596,78.883,,
217,07/11/20 12h43min39s,13.644,78.815,,
218,07/11/20 01h43min39s,13.813,78.738,,
219,07/11/20 02h43min39s,13.981,78.725,,
220,07/11/20 03h43min39s,14.172,78.966,,
221,07/11/20 04h43min39s,14.220,79.094,,
222,07/11/20 05h43min39s,14.196,79.295,,
223,07/11/20 06h43min39s,14.196,79.362,,
224,07/11/20 07h43min39s,14.148,79.298,,
225,07/11/20 08h43min39s,14.101,79.169,,
226,07/11/20 09h43min39s,14.053,79.041,,
227,07/11/20 10h43min39s,14.005,79.176,,
228,07/11/20 11h43min39s,13.981,79.311,,
229,07/12/20 12h43min39s,13.981,79.581,,
230,07/12/20 01h43min39s,13.981,79.719,,
231,07/12/20 02h43min39s,13.957,79.790,,
232,07/12/20 03h43min39s,13.957,80.215,,
233,07/12/20 04h43min39s,13.957,80.360,,
234,07/12/20 05h43min39s,13.933,80.583,,
235,07/12/20 06h43min39s,13.909,80.735,,
236,07/12/20 07h43min39s,13.861,80.294,,
237,07/12/20 08h43min39s,13.861,79.522,,
238,07/12/20 09h43min39s,13.909,79.655,,
239,07/12/20 10h43min39s,13.957,79.651,,
240,07/12/20 11h43min39s,14.005,79.717,,
241,07/12/20 12h43min39s,14.125,79.848,,
242,07/12/20 01h43min39s,14.292,79.907,,
243,07/12/20 02h43min39s,14.412,79.013,,
244,07/12/20 03h43min39s,14.436,78.881,,
245,07/12/20 04h43min39s,14.436,78.561,,
246,07/12/20 05h43min39s,14.460,78.879,,
247,07/12/20 06h43min39s,14.412,78.626,,
